"PERSONS" "WARD" "QUESTION" "MAILGRP" "PHONEGRP" "PERSNGRP" "APPEAL" "CONTACT" "MAILINGS" "AGE" "MAJORPTY" "VOTE960" "VOTE961" "MAILCALL" "VOTED98" "PHNSCRPT" "DISMC" "DISPHN" "PHNC" "PHNTRT1" "PHNTRT2" "PHNC1" "PHNC2" "NEW" "phone" "AGE2"
"2040" 2 "3" 1 0 0 0 2 0 0 65 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 42.25
"2041" 2 "18" 0 0 0 0 2 0 0 34 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 11.56
"2042" 2 "25" 1 0 0 0 1 0 0 46 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 21.16
"2047" 2 "7" 0 0 0 0 2 0 0 24 0 1 0 0 0 0 99 99 0 0 0 0 0 0 0 5.76
"2049" 2 "3" 0 0 0 0 2 0 0 34 0 0 0 0 0 0 99 99 0 0 0 0 0 1 0 11.56
"2050" 2 "6" 1 0 0 0 2 0 0 47 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 22.09
"2052" 2 "9" 1 0 0 0 3 0 0 54 0 0 1 0 1 0 99 99 0 0 0 0 0 0 0 29.16
"2054" 2 "10" 1 0 0 0 1 0 0 33 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 10.89
"2057" 2 "23" 0 0 0 0 2 0 0 28 0 1 0 0 0 0 99 99 0 0 0 0 0 0 0 7.84
"2059" 2 "25" 1 0 0 0 1 0 0 57 1 0 0 0 1 0 99 99 0 0 0 0 0 1 0 32.49
"2060" 2 "18" 1 0 0 0 2 0 0 75 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 56.25
"2065" 2 "29" 1 0 0 0 2 0 0 31 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 9.61
"2067" 2 "21" 1 0 0 0 1 0 0 79 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 62.41
"2068" 2 "10" 1 0 0 0 2 0 0 45 0 0 1 0 0 0 99 99 0 0 0 0 0 0 0 20.25
"2069" 2 "27" 1 0 0 0 1 0 0 48 0 0 1 0 1 0 99 99 0 0 0 0 0 0 0 23.04
"2070" 2 "9" 1 0 0 0 3 0 0 91 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 82.81
"2072" 2 "24" 0 0 0 0 2 0 0 42 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 17.64
"2075" 2 "25" 1 0 0 0 2 0 0 76 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 57.76
"2076" 2 "9" 1 0 0 0 1 0 0 62 1 1 0 0 1 0 99 99 0 0 0 0 0 0 0 38.44
"2078" 2 "27" 0 0 0 0 1 0 0 39 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 15.21
"2079" 2 "24" 1 0 0 0 1 0 0 26 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 6.76
"2080" 2 "19" 0 0 0 0 1 0 0 54 0 1 0 0 0 0 99 99 0 0 0 0 0 0 0 29.16
"2084" 2 "18" 0 0 0 0 1 0 0 85 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 72.25
"2088" 2 "9" 1 0 0 0 3 0 0 30 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 9
"2089" 2 "13" 0 0 0 0 1 0 0 37 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 13.69
"2092" 2 "4" 0 0 0 0 1 0 0 39 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 15.21
"2097" 2 "6" 1 0 0 0 2 0 0 39 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 15.21
"2100" 2 "5" 1 0 0 0 3 0 0 47 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 22.09
"2108" 2 "18" 0 0 0 0 3 0 0 74 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 54.76
"2109" 2 "28" 1 0 0 0 1 0 0 40 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 16
"2110" 2 "19" 1 0 0 0 2 0 0 34 1 0 0 0 1 0 99 99 0 0 0 0 0 1 0 11.56
"2111" 2 "7" 1 0 0 0 1 0 0 36 1 0 0 0 0 0 99 99 0 0 0 0 0 1 0 12.96
"2112" 2 "9" 0 0 0 0 2 0 0 74 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 54.76
"2113" 2 "26" 1 0 0 0 2 0 0 89 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 79.21
"2114" 2 "27" 1 0 0 0 2 0 0 58 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 33.64
"2116" 2 "25" 1 0 0 0 1 0 0 47 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 22.09
"2117" 2 "24" 1 0 0 0 1 0 0 31 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 9.61
"2118" 2 "6" 0 0 0 0 1 0 0 73 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 53.29
"2120" 2 "16" 1 0 0 0 2 0 0 39 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 15.21
"2122" 2 "11" 0 0 0 0 1 0 0 37 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 13.69
"2125" 2 "13" 0 0 0 0 3 0 0 35 1 0 0 0 1 0 99 99 0 0 0 0 0 1 0 12.25
"2130" 2 "26" 1 0 0 0 2 0 0 29 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 8.41
"2131" 2 "26" 1 0 0 0 3 0 0 41 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 16.81
"2135" 2 "14" 1 0 0 0 2 0 0 34 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 11.56
"2136" 2 "7" 0 0 0 0 1 0 0 46 1 0 1 0 0 0 99 99 0 0 0 0 0 0 0 21.16
"2139" 2 "6" 1 0 0 0 2 0 0 56 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 31.36
"2143" 2 "16" 1 0 0 0 1 0 0 33 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 10.89
"2144" 2 "18" 1 0 0 0 3 0 0 34 0 0 1 0 0 0 99 99 0 0 0 0 0 0 0 11.56
"2145" 2 "9" 0 0 0 0 3 0 0 51 1 0 0 0 1 0 99 99 0 0 0 0 0 1 0 26.01
"2146" 2 "17" 1 0 0 0 2 0 0 45 0 0 1 0 1 0 99 99 0 0 0 0 0 0 0 20.25
"2147" 2 "15" 1 0 0 0 1 0 0 66 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 43.56
"2148" 2 "14" 0 0 0 0 3 0 0 62 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 38.44
"2150" 2 "13" 1 0 0 0 2 0 0 46 0 0 0 0 1 0 99 99 0 0 0 0 0 1 0 21.16
"2151" 2 "27" 1 0 0 0 1 0 0 80 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 64
"2152" 2 "11" 0 0 0 0 3 0 0 82 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 67.24
"2154" 2 "19" 1 0 0 0 3 0 0 47 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 22.09
"2159" 2 "30" 1 0 0 0 3 0 0 20 1 0 0 0 0 0 99 99 0 0 0 0 0 1 0 4
"2160" 2 "18" 1 0 0 0 3 0 0 40 1 0 1 0 1 0 99 99 0 0 0 0 0 0 0 16
"2161" 2 "11" 1 0 0 0 2 0 0 61 1 1 0 0 0 0 99 99 0 0 0 0 0 0 0 37.21
